District,Age
Kapilvastu,16
Morang,12
Kaski,NA
Dang,12
Kanchanpur,35
Salyan,32
Kailali,13
Makwanpur,14
Lalitpur,17
Bara,20
Dolakha,16
Saptari,17
Kavrepalanchok,56
Syangja,16
Jhapa,12
Parsa,12
Morang,9
Kapilvastu,17
Jhapa,13
Nuwakot,15
Sindhupalchok,22
Dhading,15
Bhaktapur,12
Kavrepalanchok,54
Sindhupalchok,7
Parasi,15
Gorkha,53
Dang,13
Ramechhap,12
Dhanusha,20
Kaski,15
Sindhupalchok,15
Achham,32
Humla,15
Humla,17
Humla,46
Syangja,13
Syangja,15
Parasi,17
Gorkha,13
Gorkha,14
Gorkha,14
Okhaldhunga,7
Ramechhap,59
Bhojpur,5
Kathmandu,18
Bhaktapur,12
Sarlahi,7
Bardiya,39
Parsa,7
Bardiya,17
Sunsari,17
Bardiya,21
Nuwakot,11
Udayapur,15
Kailali,36
Morang,5
Kathmandu,8
Bardiya,7
Kapilvastu,15
Sindhupalchok,15
Chitwan,12
Dailekh,13
Jumla,5
Bhaktapur,16
Kapilvastu,6
Rolpa,13
Kathmandu,14
Siraha,12
Lalitpur,17
Kavrepalanchok,15
Palpa,13
Palpa,9
Dang,13
Bhaktapur,12
Ilam,7
Kapilvastu,12
Bardiya,4
Bhojpur,10
Mahottari,32
Mahottari,NA
Kalikot,17
Kalikot,18
Kalikot,23
Gulmi,10
Syangja,22
Rupandehi,4
Palpa,8
Kailali,NA
Sunsari,58
Udayapur,15
Sunsari,56
Sunsari,9
Bhaktapur,13
Gorkha,14
Bardiya,9
Lalitpur,5
Sunsari,9
Lamjung,9
Siraha,24
Morang,25
Rolpa,19
Rolpa,NA
Baitadi,21
Parsa,15
Surkhet,NA
Bhaktapur,13
Kanchanpur,17
Rupandehi,12
Tanahu,40
Dailekh,17
Sunsari,14
Lalitpur,67
Kailali,22
Taplejung,16
Humla,15
Morang,35
Makwanpur,NA
