,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
357,minor,assault,parents,physical injury,6/8/2016,kavre,nepalmonitor.org
358,minor,assault,parents,physical injury,8/8/2016,dolakha,nepalmonitor.org
359,gang,assault,police,physical injury,8/8/2016,kavre,nepalmonitor.org
360,opportunist,attempt,police,physical injury,9/8/2016,kathmandu,myrepublica.com
361,minor,assault,police,physical injury,11/8/2016,rautahat,nepalpolice.gov.np
362,gang,assault,police,physical injury,12/8/2016,banke,nepalpolice.gov.np
363,opportunist,assault,police,physical injury,14/08/2016,khotang,myrepublica.com
364,minor,assault,police,physical injury,15/08/2016,dang,nepalmonitor.org
365,minor,assault,police,physical injury,20/08/2016,udayapur,nepalpolice.gov.np
366,minor,assault,police,physical injury,21/08/2016,banke,myrepublica.com
367,opportunist,attempt,police,physical injury,22/08/2016,kanchanpur,nepalmonitor.org
368,gang,assault,police,physical injury,23/08/2016,banke,myrepublica.com
369,opportunist,assault,police,murder,24/08/2016,rautahat,nepalpolice.gov.np
370,opportunist,assault,police,physical injury,25/08/2016,banke,nepalpolice.gov.np
371,opportunist,assault,police,physical injury,2/10/2016,dang,nepalmonitor.org
372,minor,assault,police,physical injury,6/10/2016,morang,nepalpolice.gov.np
373,minor,assault,police,physical injury,13/10/2016,chitwan,nepalpolice.gov.np
374,opportunist,assault,victim,physical injury,16/10/2016,panchthar,nepalmonitor.org
375,opportunist,assault,police,physical injury,21/10/2016,kathmandu,nepalpolice.gov.np
376,minor,attempt,police,physical injury,23/10/2016,sarlahi,nepalpolice.gov.np
377,opportunist,assault,police,physical injury,25/10/2016,sindhupalchowk,nepalmonitor.org
378,opportunist,assault,police,physical injury,26/10/2016,sunsari,nepalmonitor.org
379,opportunist,assault,police,physical injury,27/10/2016,kapilvastu,nepalpolice.gov.np
380,minor,assault,police,physical injury,27/10/2016,gorkha,nepalpolice.gov.np
381,opportunist,attempt,police,physical injury,1/11/2016,udayapur,nepalmonitor.org
382,minor,assault,police,physical injury,1/11/2016,mahottari,thehimalayantimes.com
383,opportunist,attempt,police,physical injury,2/11/2016,dang,nepalmonitor.org
384,gang,assault,police,physical injury,3/11/2016,kathmandu,nepalpolice.gov.np
385,minor,assault,police,physical injury,3/11/2016,lalitpur,nepalpolice.gov.np
386,gang,assault,police,physical injury,9/11/2016,udayapur,nepalmonitor.org
387,minor,assault,police,physical injury,9/11/2016,kailali,nepalpolice.gov.np
388,minor,assault,police,physical injury,10/11/2016,rautahat,thehimalayantimes.com
389,minor,harassment,police,physical injury,13/11/2016,tanahu,nepalmonitor.org
390,gang,assault,police,physical injury,15/11/2016,kathmandu,myrepublica.com
391,minor,assault,police,physical injury,17/11/2016,rupandehi,nepalmonitor.org
392,opportunist,assault,police,pregnant,21/11/2016,kavre,thehimalayantimes.com
393,opportunist,attempt,victim,physical injury,21/11/2016,jhapa,nepalmonitor.org
394,minor,attempt,police,physical injury,22/11/2016,dang,nepalpolice.gov.np
395,opportunist,assault,police,physical injury,24/11/2016,bhojpur,thehimalayantimes.com
396,opportunist,assault,police,physical injury,26/11/2016,dang,nepalmonitor.org
397,gang,assault,parents,physical injury,27/11/2016,kavre,thehimalayantimes.com
398,opportunist,assault,police,physical injury,11/12/2016,jumla,nepalpolice.gov.np
399,opportunist,assault,police,physical injury,12/12/2016,kathmandu,nepalpolice.gov.np
400,minor,assault,parents,physical injury,18/12/2016,dang,nepalmonitor.org
401,gang,assault,police,physical injury,24/12/2016,jajarkot,thehimalayantimes.com
402,opportunist,molestation,police,physical injury,11/1/2017,kanchanpur,nepalmonitor.org
403,opportunist,assault,police,physical injury,15/01/2017,bardiya,nepalpolice.gov.np
404,opportunist,assault,family,physical injury,24/01/2017,sindhupalchowk,nepalmonitor.org
405,gang,assault,police,physical injury,25/01/2017,saptari,thehimalayantimes.com
406,minor,attempt,police,physical injury,27/01/2017,udayapur,thehimalayantimes.com
407,gang,assault,police,physical injury,28/01/2017,sunsari,nepalpolice.gov.np
408,opportunist,assault,police,physical injury,28/01/2017,baitadi,nepalmonitor.org
409,opportunist,assault,police,death,2/2/2017,sindhuli,nepalmonitor.org
410,gang,assault,police,murder,8/2/2017,khotang,nepalmonitor.org
411,opportunist,assault,relative,physical injury,13/02/2017,siraha,thehimalayantimes.com
412,gang,assault,police,physical injury,13/02/2017,bhojpur,nepalmonitor.org
413,minor,assault,police,physical injury,18/02/2017,morang,nepalpolice.gov.np
414,minor,assault,police,physical injury,23/02/2017,kapilvastu,nepalpolice.gov.np
415,minor,assault,police,physical injury,26/02/2017,taplejung,nepalpolice.gov.np
416,gang,assault,police,physical injury,27/02/2017,sunsari,nepalpolice.gov.np
417,minor,assault,police,physical injury,27/02/2017,bardiya,nepalmonitor.org
418,minor,molestation,parents,physical injury,1/3/2017,nawalparasi,nepalmonitor.org
419,minor,assault,police,physical injury,14/03/2017,rukum,nepalpolice.gov.np
420,minor,assault,police,physical injury,15/03/2017,lamjung,nepalpolice.gov.np
421,gang,assault,police,physical injury,15/03/2017,kailali,nepalpolice.gov.np
422,minor,assault,police,physical injury,18/03/2017,kavre,nepalpolice.gov.np
423,opportunist,assault,police,physical injury,21/03/2017,solukhumbu,myrepublica.com
424,gang,assault,family,physical injury,23/03/2017,rupandehi,nepalmonitor.org
425,opportunist,assault,police,physical injury,28/03/2017,bara,nepalpolice.gov.np
426,opportunist,assault,police,physical injury,28/03/2017,baglung,nepalpolice.gov.np
427,minor,assault,police,physical injury,29/03/2017,kailali,thehimalayantimes.com
428,minor,assault,police,physical injury,31/03/2017,taplejung,nepalpolice.gov.np
429,minor,abuse,police,physical injury,4/4/2017,mahottari,thehimalayantimes.com
430,minor,attempt,police,physical injury,16/04/2017,tanahu,nepalpolice.gov.np
431,opportunist,assault,police,physical injury,20/04/2017,darchula,nepalpolice.gov.np
432,opportunist,assault,police,physical injury,22/04/2017,nawalparasi,nepalmonitor.org
433,minor,assault,police,physical injury,30/04/2017,kapilvastu,nepalpolice.gov.np
434,minor,assault,police,physical injury,30/04/2017,lalitpur,nepalpolice.gov.np
435,opportunist,assault,police,physical injury,2/5/2017,jhapa,nepalpolice.gov.np
436,opportunist,assault,police,physical injury,7/5/2017,banke,nepalpolice.gov.np
437,opportunist,assault,police,physical injury,11/5/2017,kathmandu,nepalpolice.gov.np
438,opportunist,assault,police,physical injury,19/05/2017,lalitpur,nepalpolice.gov.np
439,opportunist,assault,police,physical injury,21/05/2017,kathmandu,nepalpolice.gov.np
440,opportunist,assault,police,physical injury,26/05/2017,kathmandu,nepalpolice.gov.np
441,opportunist,assault,police,physical injury,29/05/2017,taplejung,nepalpolice.gov.np
442,minor,assault,police,physical injury,30/05/2017,chitwan,nepalmonitor.org
443,minor,molestation,police,physical injury,30/05/2017,kaski,nepalmonitor.org
444,minor,attempt,police,physical injury,16/07/2017,lalitpur,nepalpolice.gov.np
445,opportunist,harassment,police,physical injury,3/8/2017,kathmandu,nepalmonitor.org
446,minor,assault,police,physical injury,3/8/2017,banke,nepalpolice.gov.np
447,minor,assault,police,physical injury,3/8/2017,gorkha,nepalmonitor.org
448,opportunist,harassment,police,physical injury,4/8/2017,kathmandu,nepalpolice.gov.np
449,minor,assault,police,physical injury,5/8/2017,parsa,nepalmonitor.org
450,minor,assault,police,physical injury,5/8/2017,bhojpur,nepalmonitor.org
451,minor,molestation,family,physical injury,7/8/2017,rupandehi,nepalmonitor.org
452,opportunist,assault,police,physical injury,9/8/2017,kavre,nepalpolice.gov.np
453,opportunist,harassment,police,physical injury,11/8/2017,kathmandu,nepalpolice.gov.np
454,minor,abuse,police,physical injury,13/08/2017,chitwan,nepalmonitor.org
455,minor,assault,police,murder,15/08/2017,dhanusa,nepalpolice.gov.np
456,opportunist,assault,police,physical injury,15/08/2017,dang,nepalmonitor.org
457,opportunist,assault,police,physical injury,16/08/2017,baitadi,nepalmonitor.org
458,gang,assault,family,physical injury,17/08/2017,siraha,nepalmonitor.org
459,minor,assault,family,physical injury,17/08/2017,khotang,nepalmonitor.org
460,opportunist,molestation,police,physical injury,21/08/2017,baitadi,nepalmonitor.org
461,opportunist,assault,police,physical injury,21/08/2017,surkhet,nepalmonitor.org
462,opportunist,assault,police,physical injury,23/08/2017,makwanpur,nepalpolice.gov.np
463,minor,assault,police,physical injury,24/08/2017,mugu,nepalmonitor.org
464,opportunist,assault,police,physical injury,25/08/2017,makwanpur,nepalmonitor.org
465,opportunist,assault,police,physical injury,25/08/2017,parsa,nepalmonitor.org
466,opportunist,assault,police,physical injury,27/08/2017,siraha,nepalmonitor.org
467,opportunist,assault,police,physical injury,28/08/2017,illam,nepalmonitor.org
468,gang,assault,police,physical injury,30/08/2017,kathmandu,nepalpolice.gov.np
469,minor,assault,police,physical injury,4/9/2017,makwanpur,nepalpolice.gov.np
470,minor,assault,police,physical injury,4/9/2017,dhading,nepalpolice.gov.np
471,minor,abuse,police,physical injury,6/9/2017,kathmandu,nepalpolice.gov.np
472,minor,assault,police,physical injury,8/9/2017,kavre,nepalpolice.gov.np
473,minor,attempt,police,physical injury,15/09/2017,kathmandu,nepalpolice.gov.np
474,minor,assault,police,physical injury,18/09/2017,kavre,nepalpolice.gov.np
475,minor,assault,police,physical injury,19/09/2017,nawalparasi,nepalpolice.gov.np
476,opportunist,assault,family,physical injury,20/09/2017,rupandehi,nepalmonitor.org
477,opportunist,assault,police,physical injury,21/09/2017,udayapur,nepalmonitor.org
478,opportunist,assault,police,physical injury,26/09/2017,siraha,nepalmonitor.org
479,minor,assault,family,physical injury,3/10/2017,jhapa,nepalmonitor.org
480,opportunist,assault,police,physical injury,3/10/2017,terhathum,nepalmonitor.org
481,gang,assault,family,physical injury,3/10/2017,siraha,nepalmonitor.org
482,gang,assault,family,physical injury,5/10/2017,gulmi,nepalmonitor.org
483,opportunist,attempt,police,physical injury,5/10/2017,kanchanpur,thehimalayantimes.com
484,minor,assault,police,physical injury,5/10/2017,nuwakot,nepalmonitor.org
485,minor,assault,police,physical injury,6/10/2017,rupandehi,nepalmonitor.org
486,minor,assault,police,physical injury,10/10/2017,siraha,nepalmonitor.org
487,minor,attempt,parents,physical injury,11/10/2017,saptari,nepalmonitor.org
488,minor,assault,police,physical injury,12/10/2017,gorkha,nepalmonitor.org
489,opportunist,assault,police,physical injury,12/10/2017,illam,nepalmonitor.org
490,gang,assault,police,physical injury,13/10/2017,bhaktapur,nepalpolice.gov.np
491,minor,assault,police,physical injury,15/10/2017,kathmandu,nepalpolice.gov.np
492,minor,assault,police,physical injury,16/10/2017,myagdi,nepalpolice.gov.np
493,gang,assault,police,physical injury,16/10/2017,udayapur,nepalpolice.gov.np
494,minor,assault,parents,physical injury,16/10/2017,udayapur,nepalmonitor.org
495,opportunist,assault,police,physical injury,17/10/2017,kathmandu,nepalmonitor.org
496,opportunist,assault,police,physical injury,17/10/2017,bhojpur,myrepublica.com
497,opportunist,attempt,family,physical injury,17/10/2017,saptari,nepalmonitor.org
498,minor,molestation,parents,physical injury,17/10/2017,saptari,nepalmonitor.org
499,minor,assault,police,physical injury,21/10/2017,udayapur,nepalpolice.gov.np
500,opportunist,attempt,police,physical injury,23/10/2017,gorkha,nepalmonitor.org
501,minor,molestation,police,physical injury,24/10/2017,siraha,nepalmonitor.org
502,gang,assault,police,physical injury,26/10/2017,chitwan,myrepublica.com
503,minor,assault,police,physical injury,26/10/2017,tanahu,nepalpolice.gov.np
504,gang,attempt,police,physical injury,28/10/2017,siraha,nepalmonitor.org
505,opportunist,assault,family,physical injury,29/10/2017,terhathum,nepalmonitor.org
506,minor,assault,family,physical injury,29/10/2017,arghakhanchi,nepalmonitor.org
507,minor,attempt,family,physical injury,30/10/2017,bhojpur,nepalmonitor.org
508,minor,assault,police,physical injury,1/12/2017,lalitpur,nepalpolice.gov.np
509,minor,assault,police,physical injury,5/12/2017,kavre,nepalpolice.gov.np
510,minor,assault,police,physical injury,6/12/2017,banke,nepalpolice.gov.np
511,minor,assault,police,physical injury,8/12/2017,kathmandu,nepalpolice.gov.np
512,minor,assault,police,physical injury,12/12/2017,kathmandu,nepalpolice.gov.np
513,gang,assault,grandparents,physical injury,16/12/2017,dhanusa,nepalmonitor.org
514,opportunist,assault,police,murder,17/12/2017,baglung,nepalmonitor.org
515,opportunist,assault,police,physical injury,20/12/2017,tanahu,nepalmonitor.org
516,opportunist,assault,family,physical injury,25/12/2017,darchula,nepalmonitor.org
517,minor,assault,police,physical injury,28/12/2017,nuwakot,nepalmonitor.org
518,opportunist,assault,police,physical injury,30/12/2017,banke,nepalpolice.gov.np
519,opportunist,assault,victim,physical injury,4/1/2019,chitwan,thehimalayantimes.com
520,gang,assault,police,physical injury,6/1/2019,bardiya,nepalpolice.gov.np
521,marital,assault,victim,physical injury,7/1/2019,nawalparasi,inseconline.org
522,minor,assault,police,physical injury,8/1/2019,bhojpur,thehimalayantimes.com
523,gang,assault,police,physical injury,10/1/2019,bhaktapur,nepalpolice.gov.np
524,opportunist,attempt,victim,physical injury,16/01/2019,rukum,inseconline.org
525,minor,assault,police,physical injury,25/01/2019,panchthar,nagariknetwork.com
526,minor,assault,police,physical injury,1/2/2019,udayapur,inseconline.org
527,minor,assault,police,physical injury,4/2/2019,rukum,annapurnapost.com
528,opportunist,assault,police,physical injury,7/2/2019,parsa,nepalpolice.gov.np
529,opportunist,assault,police,physical injury,8/2/2019,kailali,nepalpolice.gov.np
530,gang,assault,police,physical injury,8/2/2019,chitwan,thehimalayantimes.com
531,opportunist,assault,police,physical injury,8/2/2019,saptari,inseconline.org
532,opportunist,assault,police,physical injury,9/2/2019,kavre,nepalpolice.gov.np
533,opportunist,assault,police,physical injury,9/2/2019,dhankuta,thehimalayantimes.com
534,opportunist,assault,police,physical injury,10/2/2019,nawalparasi,inseconline.org
535,opportunist,assault,police,physical injury,11/2/2019,chitwan,inseconline.org
536,gang,assault,police,physical injury,12/2/2019,kavre,nepalpolice.gov.np
537,opportunist,assault,police,physical injury,14/02/2019,arghakhanchi,nepalpolice.gov.np
538,minor,attempt,police,physical injury,14/02/2019,morang,nepalpolice.gov.np
539,opportunist,assault,in-laws,physical injury,16/02/2019,dang,nagariknetwork.com
540,marital,assault,wife,physical injury,16/02/2019,doti,onlinekhabar.com
541,opportunist,assault,police,physical injury,17/02/2019,mugu,nagariknetwork.com
542,minor,assault,police,physical injury,17/02/2019,rupandehi,nepalpolice.gov.np
543,minor,assault,police,physical injury,17/02/2019,sarlahi,nepalpolice.gov.np
544,minor,assault,police,physical injury,18/02/2019,dhanusa,nepalpolice.gov.np
545,minor,assault,police,physical injury,19/02/2019,tanahu,nepalpolice.gov.np
546,minor,assault,police,physical injury,19/02/2019,nawalparasi,nepalpolice.gov.np
547,gang,assault,police,physical injury,19/02/2019,dhanusa,nepalpolice.gov.np
548,minor,assault,police,physical injury,19/02/2019,siraha,inseconline.org
549,minor,assault,police,physical injury,19/02/2019,siraha,thehimalayantimes.com
550,opportunist,assault,police,physical injury,20/02/2019,bajura,nepalpolice.gov.np
551,opportunist,assault,police,physical injury,20/02/2019,chitwan,inseconline.org
552,gang,assault,police,physical injury,23/02/2019,saptari,nepalpolice.gov.np
553,minor,assault,parents,physical injury,23/02/2019,rupandehi,nepalmonitor.org
