,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
2020,minor,assault,police,physical injury,28/06/2022,parsa,ratopati.com
2021,opportunist,assault,police,physical injury,28/06/2022,bhaktapur,ratopati.com
2022,opportunist,assault,police,physical injury,28/06/2022,saptari,inseconline.org
2023,minor,assault,police,physical injury,29/06/2022,dhading,inseconline.org
2024,minor,assault,police,physical injury,29/06/2022,kaski,setopati.com
2025,opportunist,assault,police,physical injury,29/06/2022,mustang,newsofnepal.com
2026,opportunist,assault,police,physical injury,30/06/2022,bardiya,newsofnepal.com
2027,opportunist,assault,victim,physical injury,30/06/2022,sindhupalchowk,inseconline.org
2028,minor,assault,police,physical injury,30/06/2022,sindhupalchowk,ekantipur.com
2029,opportunist,attempt,police,physical injury,1/7/2022,palpa,inseconline.org
2030,minor,assault,police,physical injury,1/7/2022,kathmandu,ratopati.com
2031,minor,assault,police,physical injury,1/7/2022,khotang,thahakhabar.com
2032,gang,assault,police,physical injury,2/7/2022,sindhupalchowk,setopati.com
2033,minor,assault,police,physical injury,3/7/2022,rautahat,inseconline.org
2034,gang,assault,police,physical injury,3/7/2022,lalitpur,newsofnepal.com
2035,minor,assault,police,physical injury,5/7/2022,sunsari,inseconline.org
2036,gang,assault,police,physical injury,7/7/2022,salyan,ekantipur.com
2037,opportunist,attempt,police,physical injury,7/7/2022,chitwan,inseconline.org
2038,opportunist,assault,police,physical injury,10/7/2022,bhojpur,inseconline.org
2039,opportunist,assault,police,physical injury,10/7/2022,dhankuta,nepalpolice.gov.np
2040,opportunist,abuse,police,physical injury,11/7/2022,rupandehi,ratopati.com
2041,opportunist,assault,police,physical injury,12/7/2022,kathmandu,nepalpolice.gov.np
2042,opportunist,assault,police,physical injury,13/07/2022,bhojpur,nepalpolice.gov.np
2043,minor,assault,police,physical injury,16/07/2022,kapilvastu,pahilopost.com
2044,minor,assault,police,physical injury,16/07/2022,nuwakot,ekantipur.com
2045,gang,assault,police,physical injury,16/07/2022,baitadi,kharibot.com
2046,opportunist,assault,police,physical injury,16/07/2022,kapilvastu,ekantipur.com
2047,opportunist,assault,police,physical injury,17/07/2022,sindhupalchowk,onlinekhabar.com
2048,minor,assault,police,physical injury,17/07/2022,palpa,ekantipur.com
2049,minor,assault,police,physical injury,17/07/2022,bardiya,nepalpolice.gov.np
2050,opportunist,assault,police,physical injury,18/07/2022,kaski,nepalpolice.gov.np
